STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
TEXAS,Mills County Sheriff's Office,County ,Mills County,Warrant Service Officer,11/4/2025,link,
TEXAS,Montgomery County Sheriff’s Office,County,Montgomery County,Jail Enforcement Model,6/9/2020,link,link
TEXAS,Moore County Sheriff's Office ,County ,Moore County,Warrant Service Officer,8/28/2025,link,
TEXAS,Morris County Sheriff's Office,County,Morris County,Task Force Model,12/2/2025,link,
TEXAS,Morris County Sheriff's Office ,County ,Morris County ,Jail Enforcement Model ,8/28/2025,link,
TEXAS,Motley County Sheriff's Office ,County ,Motley County,Task Force Model,8/28/2025,link,
TEXAS,Moulton Police Department ,Municipality,Lavaca County ,Task Force Model,11/10/2025,link,
TEXAS,Nacogdoches County Sheriff's Office ,County ,Nacogdoches County,Warrant Service Officer,8/4/2025,link,
TEXAS,New Berlin Marshal's Office ,Municipality,Guadalupe Conty,Task Force Model,11/20/2025,link,
TEXAS,Newton County Sheriff's Office,County,Newton County ,Warrant Service Officer,6/12/2025,link,
TEXAS,Nixon Police Department,Municipality,#N/A,Task Force Model,2/28/2025,link,
TEXAS,Nolan County Sheriff's Office ,County ,Nolan County,Warrant Service Officer,10/17/2025,link,
TEXAS,Nueces County Constable Precinct 4,County,Nueces County,Task Force Model,1/26/2026,link,
TEXAS,Nueces County Sheriff's Office,County,Nueces County ,Jail Enforcement Model,6/9/2020,link,link
TEXAS,Ochiltree County Sheriff's Office,County ,Ochiltree County,Warrant Service Officer,7/24/2025,link,
TEXAS,Oldham County Sheriff's Office,County ,Oldham County,Warrant Service Officer,8/28/2025,link,
TEXAS,Orange County Sheriff's Office,County,Orange County,Warrant Service Officer,5/6/2025,link,
TEXAS,Orange Grove Police Department,Municipality ,Jim Wells County,Task Force Model,2/10/2026,link pending,
TEXAS,Palo Pinto County Sheriff's Office,County ,Palo Pinto County,Warrant Service Officer,8/28/2025,link,
TEXAS,Panola County Sheriff's Office,County,Panola County,Task Force Model,4/2/2025,link,
TEXAS,Panola County Sheriff's Office,County,Panola County,Warrant Service Officer,3/26/2025,link,
TEXAS,Paris Police Department ,Municipality,Lamar County ,Task Force Model,11/6/2025,link,
TEXAS,Parker County Sheriff's Office,County,Parker County ,Warrant Service Officer,2/27/2025,link,
TEXAS,Parmer County Sheriff's Office ,County,Parmer County,Warrant Service Officer,12/2/2025,link,
TEXAS,Pecos County Sheriff's Office,County ,Pecos County,Warrant Service Officer,8/28/2025,link,
TEXAS,Point Comfort Police Department ,Municipality,Calhoun County,Task Force Model,11/19/2025,link,
TEXAS,Polk County Sheriff's Office,County,Polk County,Warrant Service Officer,5/6/2025,link,
TEXAS,Potter County Sheriff's Office,County,Potter County ,Jail Enforcement Model,3/2/2020,link,
TEXAS,Rains County Sheriff's Office,County,Rains County,Warrant Service Officer,6/11/2025,link,
TEXAS,Randall County Sheriff's Office,County,Randall County ,Jail Enforcement Model,2/28/2025,link,
TEXAS,Randall County Sheriff's Office,County,Randall County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Reagan County Sheriff's Office ,County ,Reagan County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Real County Sheriff's Office,County,Real County,Warrant Service Officer,1/30/2026,link,
TEXAS,Refugio County Sheriff’s Office,County,Refugio County,Jail Enforcement Model,6/9/2020,link,
TEXAS,Refugio County Sheriff’s Office,County,Refugio County,Task Force Model,12/10/2025,link,
TEXAS,Refugio County Sheriff’s Office,County,Refugio County,Warrant Service Officer,3/7/2025,link,
TEXAS,Refugio Police Department,Municipality,Refugio County,Task Force Model,1/8/2026,link,
TEXAS,Rockwall County Sheriff's Office,County,Rockwall County ,Jail Enforcement Model,6/9/2020,link,
TEXAS,Rockwall County Sheriff's Office,County,Rockwall County ,Task Force Model,7/7/2025,link,
TEXAS,Rockwall County Sheriff's Office,County,Rockwall County ,Warrant Service Officer,7/8/2025,link,
